1418203043.292886|ASL|setting up yosemite events|
1418203043.326311|ASL|update url http://yose.boastr.net|
1418203043.326326|LAUNCH|DIDLaunch|
1418203043.375369|STDEV|65|
1418203043.386919|ASW|c3fb28772eff6ff6|
1418203044.902201|M|checking|
1418203045.424645|M|checking|
1418203045.437270|G|103|
1418203045.437292|G_A|-1|
1418203045.437303|G_S|63,59,121|
1418203046.061367|G|103|
1418203046.061391|G_A|-1|
1418203046.061395|G_S|63,59,121|
1418203050.983409|G|101|
1418203050.983436|G_A|-1|
1418203050.983439|G_S|55,30|
1418203051.749731|G|100|
1418203051.749744|G_A|-1|
1418203051.749747|G_S|55,33|
1418203052.403582|ASW|30a3725da245daf5|
1418203052.434062|ASW|30a3725da245daf5|
1418203052.483974|G|101|
1418203052.483987|G_A|-1|
1418203052.483992|G_S|55,30|
1418203053.057509|ASW|c3fb28772eff6ff6|
1418203068.805293|ASW|0b44285a1e765856|
1418203068.934428|ASW|c3fb28772eff6ff6|
1418203069.009090|ASW|c3fb28772eff6ff6|
1418203071.040762|ASW|863f826d5d177d4a|
1418203072.321596|ASW|495346d144c5f0bd|
1418203072.347008|M|checking|
1418203074.138552|ASW|863f826d5d177d4a|
1418203077.262035|ASW|c3fb28772eff6ff6|
1418203077.282164|M|checking|
1418203112.305621|ASW|30a3725da245daf5|
1418203118.617200|ASW|c3fb28772eff6ff6|
1418203416.640901|ASW|30a3725da245daf5|
1418203459.036528|ASW|9435a2d88f23eb71|
1418203466.765575|G|103|
1418203466.765592|G_A|-1|
1418203466.765597|G_S|56,55,30|
1418203467.491556|G|102|
1418203467.491571|G_A|-1|
1418203467.491575|G_S|56,55,33|
1418203467.979538|G|102|
1418203467.979561|G_A|-1|
1418203467.979565|G_S|56,55,33|
1418203468.717481|G|103|
1418203468.717496|G_A|-1|
1418203468.717501|G_S|56,55,30|
1418203472.853578|G|102|
1418203472.853601|G_A|-1|
1418203472.853605|G_S|56,55,33|
1418203473.405506|G|103|
1418203473.405529|G_A|-1|
1418203473.405533|G_S|56,55,30|
1418203660.388904|ASW|c3fb28772eff6ff6|
1418203663.372375|ASW|9435a2d88f23eb71|
1418203681.107437|ASW|30a3725da245daf5|
1418203706.037046|ASW|9435a2d88f23eb71|
1418203712.397969|ASW|30a3725da245daf5|
1418203774.542554|ASW|9435a2d88f23eb71|
1418203785.212316|ASW|c3fb28772eff6ff6|
1418203788.230774|ASW|30a3725da245daf5|
1418203808.668018|ASW|c3fb28772eff6ff6|
1418203836.039341|ASW|30a3725da245daf5|
1418203839.119216|ASW|c3fb28772eff6ff6|
1418203844.136257|ASW|30a3725da245daf5|
1418203856.007918|ASW|c3fb28772eff6ff6|
1418203861.355893|ASW|9435a2d88f23eb71|
1418203875.062733|ASW|c3fb28772eff6ff6|
1418204077.336867|G|142|
1418204077.336889|G_A|-1|
1418204077.336895|G_S|55,13|
1418204121.572784|G|102|
1418204121.572801|G_A|-1|
1418204121.572806|G_S|63,59,116|
1418204126.633596|G|103|
1418204126.633619|G_A|-1|
1418204126.633625|G_S|63,59,121|
1418204133.775361|G|102|
1418204133.775383|G_A|-1|
1418204133.775390|G_S|63,59,116|
1418204135.977588|G|103|
1418204135.977612|G_A|-1|
1418204135.977618|G_S|63,59,121|
1418204144.625677|G|102|
1418204144.625702|G_A|-1|
1418204144.625709|G_S|63,59,116|
1418204160.063515|ASW|9435a2d88f23eb71|
1418204192.055091|ASW|c3fb28772eff6ff6|
1418204194.314869|ASW|9435a2d88f23eb71|
1418204211.557656|ASW|30a3725da245daf5|
1418204235.349381|ASW|9435a2d88f23eb71|
1418204235.995004|ASW|c3fb28772eff6ff6|
1418204261.339795|ASW|9435a2d88f23eb71|
1418204270.993117|ASW|16b9e54c981844f2|
1418204271.143393|ASW|16b9e54c981844f2|
1418204271.849949|ASW|75b13df0f6072c8d|
1418204277.312291|ASW|c3fb28772eff6ff6|
1418204282.580472|WISNAP|0 0|
1418204283.682980|G|103|
1418204283.683004|G_A|-1|
1418204283.683010|G_S|63,59,121|
1418204284.266524|G|102|
1418204284.266541|G_A|-1|
1418204284.266545|G_S|63,59,116|
1418204289.115195|G|102|
1418204289.115219|G_A|-1|
1418204289.115226|G_S|63,59,116|
1418204289.500973|G|102|
1418204289.500997|G_A|-1|
1418204289.501003|G_S|63,59,116|
1418204289.861112|G|103|
1418204289.861135|G_A|-1|
1418204289.861142|G_S|63,59,121|
1418204290.223170|G|103|
1418204290.223193|G_A|-1|
1418204290.223200|G_S|63,59,121|
1418204290.726594|G|103|
1418204290.726612|G_A|-1|
1418204290.726618|G_S|63,59,121|
1418204291.272509|G|102|
1418204291.272526|G_A|-1|
1418204291.272530|G_S|63,59,116|
1418204294.037126|G|142|
1418204294.037148|G_A|-1|
1418204294.037153|G_S|55,13|
1418204295.142715|G|142|
1418204295.142732|G_A|-1|
1418204295.142735|G_S|55,13|
1418204295.977230|G|142|
1418204295.977252|G_A|-1|
1418204295.977257|G_S|55,13|
1418204296.763169|G|142|
1418204296.763193|G_A|-1|
1418204296.763199|G_S|55,13|
1418204297.886848|G|142|
1418204297.886866|G_A|-1|
1418204297.886869|G_S|55,13|
1418204299.639416|G|142|
1418204299.639440|G_A|-1|
1418204299.639445|G_S|55,13|
1418204398.910306|ASW|30a3725da245daf5|
1418204412.949971|ASW|c3fb28772eff6ff6|
1418204453.769307|ASW|9435a2d88f23eb71|
1418204453.851010|ASW|9435a2d88f23eb71|
